-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  9.9189   Longitude 77.1025 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 711.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS2M,PRECTOTCORR
2012,1,1,20.46,81.75,0.4,0.37
2012,1,2,19.73,77.19,0.48,0.0
2012,1,3,21.01,77.25,0.43,0.0
2012,1,4,21.68,84.0,0.27,0.0
2012,1,5,22.47,82.62,0.25,0.0
2012,1,6,21.51,79.62,0.31,0.0
2012,1,7,20.17,78.69,0.3,0.0
2012,1,8,21.8,82.56,0.25,0.0
2012,1,9,23.03,81.12,0.2,0.0
2012,1,10,22.56,83.0,0.34,0.3
2012,1,11,22.51,83.19,0.26,0.6
2012,1,12,22.05,79.56,0.3,0.1
2012,1,13,21.25,78.56,0.29,0.0
2012,1,14,20.94,75.56,0.34,0.0
2012,1,15,19.56,72.44,0.33,0.0
2012,1,16,18.65,67.0,0.34,0.0
2012,1,17,19.19,65.94,0.36,0.0
2012,1,18,20.43,72.69,0.34,0.0
2012,1,19,21.48,78.0,0.34,0.16
2012,1,20,21.19,76.19,0.41,0.3
2012,1,21,21.16,69.94,0.38,0.0
2012,1,22,20.6,69.44,0.35,0.0
2012,1,23,19.78,66.94,0.3,0.0
2012,1,24,19.68,65.88,0.25,0.0
2012,1,25,19.89,62.56,0.3,0.0
2012,1,26,20.31,66.25,0.41,0.0
2012,1,27,20.73,70.88,0.41,0.0
2012,1,28,21.54,73.31,0.34,0.0
2012,1,29,21.36,76.31,0.23,0.0
2012,1,30,21.82,70.19,0.29,0.01
2012,1,31,21.37,68.44,0.39,0.02
2012,2,1,21.09,63.56,0.41,0.0
2012,2,2,21.08,65.81,0.39,0.0
2012,2,3,22.22,67.12,0.38,0.0
2012,2,4,22.99,64.88,0.27,0.0
2012,2,5,22.8,68.25,0.23,0.0
2012,2,6,22.98,67.06,0.2,0.0
2012,2,7,24.2,69.44,0.23,0.0
2012,2,8,23.92,67.38,0.24,0.0
2012,2,9,23.57,73.81,0.17,0.0
2012,2,10,22.94,75.25,0.23,1.61
2012,2,11,22.9,78.19,0.3,9.59
2012,2,12,23.33,70.56,0.25,3.0
2012,2,13,22.97,64.75,0.36,0.0
2012,2,14,23.05,65.12,0.37,0.0
2012,2,15,24.2,69.81,0.31,0.0
2012,2,16,24.79,68.25,0.34,0.0
2012,2,17,24.38,66.31,0.23,0.0
2012,2,18,23.94,62.88,0.26,0.0
2012,2,19,22.9,55.25,0.29,0.0
2012,2,20,23.19,51.88,0.32,0.0
2012,2,21,23.84,52.62,0.4,0.0
2012,2,22,23.65,48.94,0.37,0.0
2012,2,23,22.37,50.5,0.4,0.0
2012,2,24,22.85,43.06,0.29,0.0
2012,2,25,23.33,37.69,0.34,0.0
2012,2,26,22.96,41.56,0.29,0.0
2012,2,27,24.58,47.44,0.3,0.0
2012,2,28,24.72,59.31,0.45,0.0
2012,2,29,25.58,62.5,0.38,0.0
2012,3,1,26.05,62.12,0.35,0.0
2012,3,2,26.01,66.81,0.39,0.0
2012,3,3,25.48,66.94,0.44,0.0
2012,3,4,24.99,63.12,0.43,0.0
2012,3,5,24.9,66.56,0.34,0.0
2012,3,6,25.56,66.25,0.4,0.0
2012,3,7,24.61,73.5,0.55,0.19
2012,3,8,23.77,75.19,0.62,0.04
2012,3,9,24.81,64.25,0.52,0.0
2012,3,10,24.34,67.75,0.34,0.0
2012,3,11,25.51,60.25,0.28,0.1
2012,3,12,23.91,68.44,0.23,0.37
2012,3,13,25.08,67.0,0.23,0.65
2012,3,14,25.91,64.62,0.27,0.38
2012,3,15,26.66,63.44,0.33,0.12
2012,3,16,25.52,71.88,0.35,9.65
2012,3,17,26.27,66.56,0.35,2.93
2012,3,18,26.57,61.5,0.33,0.0
2012,3,19,26.9,63.12,0.38,0.0
2012,3,20,26.83,61.19,0.33,0.0
2012,3,21,26.44,64.62,0.41,0.0
2012,3,22,26.05,68.56,0.39,4.17
2012,3,23,25.95,65.31,0.37,1.48
2012,3,24,26.25,57.75,0.33,0.0
2012,3,25,25.43,54.75,0.4,0.0
2012,3,26,25.41,58.75,0.38,0.0
2012,3,27,24.99,61.94,0.42,1.42
2012,3,28,25.68,68.69,0.28,1.11
2012,3,29,25.12,73.56,0.34,2.26
2012,3,30,24.76,77.31,0.52,1.34
2012,3,31,25.76,71.31,0.38,11.38
2012,4,1,26.03,67.31,0.3,2.31
2012,4,2,24.44,70.0,0.32,0.23
2012,4,3,25.67,64.81,0.34,0.01
