-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  12.4996   Longitude 74.9869 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 96.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS2M,PRECTOTCORR
2012,1,1,26.62,69.56,3.64,0.05
2012,1,2,26.23,69.31,2.36,0.0
2012,1,3,26.27,71.69,1.84,0.0
2012,1,4,26.96,76.38,1.95,0.03
2012,1,5,27.6,74.88,1.85,0.03
2012,1,6,27.43,72.06,1.82,0.05
2012,1,7,27.06,69.62,1.66,0.1
2012,1,8,26.85,65.0,1.77,0.01
2012,1,9,26.54,65.62,2.51,0.0
2012,1,10,25.62,63.06,2.46,0.0
2012,1,11,25.69,64.62,1.91,0.0
2012,1,12,26.04,67.69,1.5,0.0
2012,1,13,26.39,69.0,1.53,0.01
2012,1,14,26.72,64.19,1.86,0.01
2012,1,15,25.76,60.0,2.18,0.0
2012,1,16,25.26,63.19,1.89,0.0
2012,1,17,25.76,59.44,1.63,0.0
2012,1,18,25.99,65.5,2.08,0.0
2012,1,19,25.78,70.56,3.26,0.0
2012,1,20,25.67,69.75,3.23,0.0
2012,1,21,25.58,69.75,2.09,0.0
2012,1,22,26.1,70.5,2.46,0.0
2012,1,23,26.26,70.75,2.27,0.0
2012,1,24,26.4,71.06,2.22,0.01
2012,1,25,26.01,66.12,2.33,0.0
2012,1,26,26.14,66.81,2.73,0.04
2012,1,27,25.61,67.12,2.38,0.02
2012,1,28,25.84,71.44,2.96,0.07
2012,1,29,25.58,73.75,2.77,0.11
2012,1,30,26.1,70.12,2.29,0.06
2012,1,31,26.86,62.12,2.58,0.11
2012,2,1,26.74,56.94,2.66,0.01
2012,2,2,26.98,53.0,2.36,0.0
2012,2,3,26.76,55.5,2.48,0.0
2012,2,4,26.62,59.75,1.99,0.0
2012,2,5,27.05,68.31,1.79,0.0
2012,2,6,27.42,68.81,1.98,0.24
2012,2,7,27.44,67.88,2.48,0.06
2012,2,8,27.77,63.19,2.8,0.01
2012,2,9,27.95,59.88,2.53,0.0
2012,2,10,27.87,60.12,1.83,0.3
2012,2,11,27.81,68.94,1.73,0.19
2012,2,12,26.92,70.12,1.66,0.04
2012,2,13,27.81,65.44,2.27,0.03
2012,2,14,27.61,64.69,2.18,0.02
2012,2,15,27.34,65.81,2.47,0.0
2012,2,16,27.67,60.56,3.2,0.0
2012,2,17,27.54,57.31,2.37,0.0
2012,2,18,28.24,59.69,2.44,0.0
2012,2,19,28.48,57.12,2.07,0.0
