Title:,"Time Series, Area-Averaged of Sea Surface Temperature at 11 microns (Day) 8-daily 4 km [MODIS-Aqua ()"
User Start Date:,2002-07-04T00:00:00Z
User End Date:,2022-10-30T23:59:59Z
User Bounding Box:,"12.4996,74.9869,12.4996,74.9869"
Data Bounding Box:,"12.4792,74.9792,12.4792,74.9792"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-07-04T00:00:00Z&endtime=2022-10-30T23:59:59Z&bbox=12.4996,74.9869,12.4996,74.9869&data=MODISA_L3m_SST_8d_4km_R2019_0_sst&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_SST_8d_4km_R2019_0_sst):, -32767

time, mean_MODISA_L3m_SST_8d_4km_R2019_0_sst
2002-07-04 00:55:01,7.9199996
2002-07-12 00:20:01,9.41499996
2002-07-20 00:55:01,8.27499962
2002-07-28 00:20:01,8.24499989
2002-08-06 15:17:05,8.10999966
2002-08-13 00:20:01,8.46500015
2002-08-21 00:55:01,8.34500027
2002-08-29 00:20:00,8.17999935
2002-09-06 00:35:01,7.40499973
2002-09-14 00:20:00,7.65999985
2002-09-22 00:35:01,6.96499968
2002-09-30 00:20:00,7.01499987
2002-10-08 00:35:01,6.77499962
2002-10-16 00:20:01,-32767
2002-10-24 00:35:01,5.4749999
2002-11-01 00:20:01,-32767
2002-11-09 00:35:01,-32767
2002-11-17 00:20:01,-32767
2002-11-25 00:35:01,-32767
2002-12-03 00:20:01,-32767
2002-12-11 00:35:01,-32767
2002-12-19 00:20:01,-32767
2002-12-27 00:35:01,-32767
2003-01-01 00:50:01,-32767
2003-01-09 00:00:01,-32767
2003-01-17 00:50:01,-32767
2003-01-25 00:00:01,-32767
2003-02-02 00:00:01,-32767
2003-02-10 00:00:01,2.71499991
2003-02-26 00:00:01,-32767
2003-03-06 00:00:01,2.83500004
2003-03-14 00:00:01,-32767
2003-03-22 00:00:00,-32767
2003-03-30 00:05:00,-32767
