-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  8.8932   Longitude 76.6141 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 211.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS2M,PRECTOTCORR
2012,1,1,24.04,83.25,1.54,0.38
2012,1,2,22.99,80.94,1.3,0.0
2012,1,3,24.0,78.56,1.0,0.0
2012,1,4,25.02,82.19,0.79,0.0
2012,1,5,25.52,82.0,1.18,0.0
2012,1,6,24.57,81.06,1.37,0.0
2012,1,7,23.55,80.31,1.48,0.0
2012,1,8,24.67,81.25,1.45,0.01
2012,1,9,25.76,79.94,1.08,0.02
2012,1,10,25.77,80.88,0.77,0.92
2012,1,11,25.04,81.75,0.66,2.91
2012,1,12,25.1,76.44,1.09,0.29
2012,1,13,24.66,76.31,1.25,0.04
2012,1,14,24.66,72.94,1.39,0.0
2012,1,15,23.58,69.38,1.28,0.0
2012,1,16,22.41,66.38,1.23,0.0
2012,1,17,22.94,64.69,1.14,0.0
2012,1,18,23.15,67.56,0.89,0.0
2012,1,19,24.16,72.25,0.69,0.05
2012,1,20,24.51,71.75,0.66,0.04
2012,1,21,24.55,69.94,0.83,0.01
2012,1,22,24.16,66.0,0.92,0.0
2012,1,23,23.47,64.19,1.33,0.0
2012,1,24,23.83,62.31,1.22,0.0
2012,1,25,23.71,59.5,1.2,0.0
2012,1,26,24.32,63.25,1.19,0.0
2012,1,27,24.52,69.69,1.09,0.0
2012,1,28,25.52,69.31,0.89,0.0
2012,1,29,25.08,71.56,0.99,0.0
2012,1,30,25.6,66.75,1.16,0.0
2012,1,31,25.17,65.31,1.4,0.0
2012,2,1,24.83,62.31,1.57,0.0
2012,2,2,24.73,63.31,1.77,0.0
2012,2,3,25.83,63.75,1.71,0.0
2012,2,4,26.24,63.75,1.17,0.0
2012,2,5,26.73,66.06,1.07,0.0
2012,2,6,26.4,67.81,0.84,0.0
2012,2,7,27.31,67.38,0.88,0.0
2012,2,8,26.52,69.81,1.29,0.0
2012,2,9,27.13,71.81,0.84,0.05
2012,2,10,25.41,80.0,1.34,3.04
2012,2,11,26.94,72.75,1.01,8.55
2012,2,12,26.87,68.19,1.14,1.48
2012,2,13,26.65,64.56,1.01,0.03
2012,2,14,27.07,63.81,1.11,0.02
2012,2,15,27.21,67.75,0.72,0.06
2012,2,16,27.86,66.62,0.82,0.0
2012,2,17,27.49,63.62,0.61,0.0
2012,2,18,26.59,62.19,1.35,0.0
