-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  11.2588   Longitude 75.7804 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 165.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS2M,PRECTOTCORR
2012,1,1,25.88,70.0,2.95,0.28
2012,1,2,25.57,65.5,2.02,0.0
2012,1,3,26.06,66.12,1.46,0.0
2012,1,4,26.6,73.19,1.62,0.0
2012,1,5,27.68,72.75,1.25,0.05
2012,1,6,26.97,69.81,1.31,0.05
2012,1,7,26.51,66.81,1.23,0.02
2012,1,8,26.39,64.81,1.36,0.01
2012,1,9,26.8,70.19,1.75,0.0
2012,1,10,26.19,67.56,1.91,0.0
2012,1,11,25.89,67.25,1.76,0.0
2012,1,12,25.97,70.31,1.52,0.0
2012,1,13,26.24,69.88,1.5,0.0
2012,1,14,26.33,66.56,1.9,0.02
2012,1,15,26.06,61.5,1.78,0.0
2012,1,16,25.68,58.38,1.84,0.01
2012,1,17,25.58,60.19,1.75,0.0
2012,1,18,26.01,66.25,1.62,0.0
2012,1,19,26.23,70.25,2.23,0.01
2012,1,20,26.2,68.44,2.29,0.05
2012,1,21,26.09,68.31,1.75,0.0
2012,1,22,26.4,67.5,1.96,0.0
2012,1,23,26.48,63.69,1.86,0.0
2012,1,24,25.98,63.56,1.94,0.0
2012,1,25,25.88,62.31,1.9,0.01
2012,1,26,26.25,65.5,2.05,0.05
2012,1,27,25.88,65.31,1.98,0.0
2012,1,28,25.99,69.25,2.11,0.05
2012,1,29,26.04,69.75,2.18,0.1
2012,1,30,26.32,66.19,1.99,0.05
2012,1,31,26.78,60.88,2.08,0.15
2012,2,1,26.7,56.31,2.03,0.02
2012,2,2,26.65,49.88,1.66,0.0
2012,2,3,26.53,55.0,2.02,0.0
2012,2,4,26.38,60.62,1.8,0.0
2012,2,5,26.8,64.44,1.7,0.0
2012,2,6,26.85,65.75,1.68,0.11
2012,2,7,27.55,68.75,1.94,0.15
2012,2,8,27.74,61.0,1.89,0.02
2012,2,9,27.73,65.12,1.66,0.0
2012,2,10,27.87,66.25,1.65,0.69
2012,2,11,27.01,75.31,1.27,1.65
2012,2,12,27.3,69.19,1.57,1.03
2012,2,13,27.49,63.81,1.94,0.07
2012,2,14,27.3,63.94,2.12,0.06
2012,2,15,27.04,67.38,1.88,0.0
2012,2,16,27.36,64.81,2.32,0.0
2012,2,17,27.57,60.31,1.69,0.0
2012,2,18,28.12,61.0,2.1,0.0
2012,2,19,28.35,55.31,1.77,0.0
2012,2,20,27.94,53.12,1.86,0.0
2012,2,21,27.85,61.56,1.76,0.0
2012,2,22,28.4,56.31,1.52,1.57
2012,2,23,28.5,55.44,1.72,0.1
2012,2,24,28.28,50.12,1.56,0.0
2012,2,25,28.5,48.0,1.66,0.0
2012,2,26,28.65,50.12,1.48,0.19
2012,2,27,28.65,47.75,1.57,0.0
2012,2,28,27.73,58.06,1.81,0.2
2012,2,29,27.64,65.5,2.15,0.07
2012,3,1,28.13,66.94,2.05,0.0
2012,3,2,28.03,64.75,2.04,0.02
2012,3,3,27.32,63.19,2.58,0.0
2012,3,4,26.87,66.69,2.63,0.0
2012,3,5,27.26,69.38,1.68,0.0
2012,3,6,27.58,69.19,1.76,0.71
2012,3,7,27.56,73.38,2.37,0.01
2012,3,8,27.31,67.0,3.65,0.3
2012,3,9,27.37,61.5,3.5,0.0
2012,3,10,27.3,64.56,2.96,0.0
2012,3,11,28.1,64.12,2.2,0.0
2012,3,12,28.75,62.5,2.02,0.15
2012,3,13,29.1,63.25,1.82,0.11
2012,3,14,29.21,64.81,1.68,0.44
2012,3,15,28.9,68.0,1.72,0.7
2012,3,16,28.23,72.75,1.91,1.02
2012,3,17,28.62,72.19,2.06,0.56
2012,3,18,28.82,68.94,1.95,0.0
2012,3,19,28.63,67.12,1.95,0.0
2012,3,20,28.25,67.12,1.58,0.0
2012,3,21,28.24,67.19,1.6,0.0
2012,3,22,28.35,67.88,1.77,0.03
2012,3,23,28.68,68.12,1.86,0.07
2012,3,24,29.01,65.19,1.69,0.0
2012,3,25,28.93,64.12,1.9,0.03
2012,3,26,28.93,66.75,2.05,0.08
2012,3,27,28.34,65.5,1.56,0.22
2012,3,28,28.5,69.0,1.7,0.37
2012,3,29,28.3,73.06,1.9,0.49
2012,3,30,28.09,73.81,2.84,0.53
2012,3,31,28.8,68.56,2.54,0.61
2012,4,1,28.83,70.5,1.61,3.07
2012,4,2,27.88,74.38,1.44,3.12
2012,4,3,28.08,72.0,1.75,0.42
2012,4,4,28.38,72.31,2.22,0.3
2012,4,5,28.62,71.69,2.65,0.16
2012,4,6,28.71,71.31,2.55,1.7
