-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  10.7867   Longitude 76.6548 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 540.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS2M,PRECTOTCORR
2012,1,1,21.62,75.5,1.62,0.12
2012,1,2,22.66,72.19,1.25,0.0
2012,1,3,23.2,73.94,1.3,0.0
2012,1,4,23.93,77.94,1.69,0.0
2012,1,5,24.23,75.88,1.88,0.0
2012,1,6,23.01,72.94,1.87,0.0
2012,1,7,22.19,71.12,1.97,0.0
2012,1,8,22.58,77.0,2.13,0.0
2012,1,9,24.16,74.56,1.33,0.0
2012,1,10,24.23,72.12,0.92,0.02
2012,1,11,23.87,72.62,0.84,0.1
2012,1,12,23.33,73.12,1.48,0.02
2012,1,13,23.05,71.94,2.13,0.0
2012,1,14,22.47,68.12,2.16,0.0
2012,1,15,20.74,64.75,1.98,0.0
2012,1,16,19.81,60.81,1.7,0.0
2012,1,17,20.84,61.0,1.39,0.0
2012,1,18,21.55,57.81,0.84,0.0
2012,1,19,23.16,67.62,0.99,0.09
2012,1,20,23.29,64.75,0.77,0.08
2012,1,21,22.27,64.0,1.27,0.0
2012,1,22,21.73,64.56,1.84,0.0
2012,1,23,21.27,65.88,2.12,0.0
2012,1,24,20.78,64.12,1.86,0.0
2012,1,25,20.44,62.0,1.78,0.0
2012,1,26,20.98,64.12,1.69,0.0
2012,1,27,22.08,66.62,1.26,0.0
2012,1,28,22.46,68.5,1.46,0.0
2012,1,29,23.42,67.25,1.52,0.0
2012,1,30,22.89,65.94,2.35,0.03
2012,1,31,22.51,64.06,2.54,0.04
2012,2,1,22.34,57.94,2.82,0.01
2012,2,2,21.65,63.81,2.63,0.0
2012,2,3,22.71,63.69,2.91,0.0
2012,2,4,23.06,61.88,1.81,0.0
2012,2,5,23.55,61.56,1.73,0.0
2012,2,6,23.45,60.12,1.76,0.0
2012,2,7,25.15,60.81,1.87,0.0
2012,2,8,25.12,57.38,1.84,0.0
2012,2,9,24.94,65.56,1.48,0.0
2012,2,10,24.8,65.81,1.82,0.69
2012,2,11,23.39,72.56,1.42,2.14
2012,2,12,23.74,65.38,1.88,0.61
2012,2,13,24.36,56.81,1.89,0.0
2012,2,14,24.95,54.56,1.68,0.0
2012,2,15,25.88,55.94,1.04,0.0
2012,2,16,26.87,54.5,1.01,0.0
2012,2,17,26.33,54.19,1.48,0.0
2012,2,18,25.4,53.31,2.2,0.0
2012,2,19,24.91,47.25,2.45,0.0
2012,2,20,24.56,43.62,1.91,0.0
2012,2,21,25.76,39.19,1.8,0.0
2012,2,22,25.39,40.44,2.27,0.0
2012,2,23,24.84,40.38,2.49,0.0
2012,2,24,24.94,36.56,2.34,0.0
2012,2,25,25.01,32.19,2.7,0.0
2012,2,26,25.26,28.81,2.47,0.0
2012,2,27,25.97,32.12,2.35,0.0
2012,2,28,26.69,40.94,1.19,0.0
2012,2,29,27.87,52.88,1.14,0.0
2012,3,1,28.54,51.88,1.22,0.0
2012,3,2,28.27,57.62,1.8,0.0
2012,3,3,28.53,49.44,1.86,0.0
2012,3,4,27.9,52.88,1.57,0.0
2012,3,5,28.04,56.25,1.44,0.0
2012,3,6,28.42,55.5,1.37,0.0
2012,3,7,27.55,62.5,2.27,0.02
2012,3,8,26.61,62.06,2.34,0.0
2012,3,9,27.69,48.94,1.54,0.0
2012,3,10,27.5,50.5,0.9,0.0
2012,3,11,28.12,42.5,2.15,0.0
2012,3,12,26.19,58.0,2.23,0.03
2012,3,13,28.67,53.56,2.34,0.08
2012,3,14,28.48,55.44,2.27,0.0
2012,3,15,29.56,47.94,1.77,0.0
2012,3,16,29.36,50.62,1.48,1.1
2012,3,17,29.24,52.0,1.32,0.61
2012,3,18,29.37,47.25,1.47,0.0
2012,3,19,29.55,50.94,1.55,0.0
2012,3,20,29.31,51.62,1.45,0.0
2012,3,21,29.12,53.94,1.89,0.0
2012,3,22,29.32,51.62,1.39,0.29
2012,3,23,28.95,47.56,1.63,0.11
2012,3,24,28.58,40.75,1.71,0.0
2012,3,25,27.88,30.06,1.76,0.0
2012,3,26,27.45,34.88,1.85,0.0
2012,3,27,27.25,42.5,1.29,0.32
2012,3,28,28.76,53.69,1.34,0.64
2012,3,29,28.44,57.38,1.48,0.38
2012,3,30,28.81,59.69,2.47,0.25
2012,3,31,29.63,52.12,1.07,3.83
2012,4,1,29.09,55.56,1.6,1.75
2012,4,2,27.56,57.5,1.25,0.47
2012,4,3,28.47,54.62,1.23,0.03
2012,4,4,28.58,58.12,1.47,0.32
2012,4,5,29.12,57.81,1.7,0.11
2012,4,6,29.0,60.56,1.93,4.74
2012,4,7,29.06,59.12,1.32,1.16
2012,4,8,29.67,53.94,1.03,0.04
2012,4,9,28.66,62.25,1.68,0.3
2012,4,10,29.17,60.62,1.49,0.17
2012,4,11,29.82,56.88,1.69,0.66
2012,4,12,28.89,58.88,2.0,0.2
2012,4,13,29.5,53.12,1.34,0.0
2012,4,14,29.84,52.44,1.55,0.0
2012,4,15,29.64,51.75,0.8,0.21
2012,4,16,29.44,56.94,1.27,0.43
2012,4,17,27.51,67.38,2.34,1.25
2012,4,18,27.99,66.38,1.95,2.82
2012,4,19,28.12,64.0,1.66,0.6
2012,4,20,29.37,58.75,1.27,2.19
2012,4,21,29.37,60.88,2.02,0.66
2012,4,22,29.64,59.56,1.33,0.13
2012,4,23,27.57,71.88,1.66,6.14
2012,4,24,26.13,78.75,1.23,20.09
2012,4,25,24.92,85.38,1.3,16.38
2012,4,26,24.97,81.81,0.79,8.14
2012,4,27,24.72,84.5,1.22,8.37
2012,4,28,25.42,81.25,2.22,2.36
2012,4,29,26.31,76.88,1.7,5.54
2012,4,30,25.39,82.88,1.7,3.46
2012,5,1,26.23,77.56,1.88,0.65
2012,5,2,26.0,78.0,2.02,0.63
2012,5,3,25.94,81.12,2.56,5.47
2012,5,4,25.75,81.0,2.57,2.69
2012,5,5,25.87,74.38,2.7,1.24
2012,5,6,26.73,69.81,2.2,0.14
2012,5,7,27.79,66.31,1.88,0.3
2012,5,8,27.4,70.19,1.96,5.24
2012,5,9,26.68,73.31,1.84,0.69
2012,5,10,26.87,72.25,1.74,2.11
2012,5,11,25.26,82.69,1.54,8.56
2012,5,12,25.05,84.19,1.92,6.82
2012,5,13,26.62,73.88,2.03,0.57
2012,5,14,26.46,78.19,1.89,0.04
2012,5,15,26.12,79.38,2.12,1.42
2012,5,16,26.42,76.19,2.13,0.24
2012,5,17,26.6,76.19,2.53,0.04
2012,5,18,26.47,78.75,1.9,1.51
2012,5,19,26.72,78.62,2.4,1.08
2012,5,20,26.19,77.94,1.41,0.1
2012,5,21,25.51,77.88,2.62,2.18
2012,5,22,25.84,76.56,1.98,0.53
2012,5,23,25.87,74.0,2.47,0.14
2012,5,24,26.37,75.62,2.96,0.08
2012,5,25,26.33,74.88,3.25,0.04
2012,5,26,25.53,79.06,2.78,0.17
2012,5,27,24.95,83.19,2.82,0.71
2012,5,28,26.15,77.5,2.94,0.12
2012,5,29,25.75,79.31,2.39,0.0
2012,5,30,26.09,76.12,3.02,0.04
