-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  8.5241   Longitude 76.9366 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 86.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS2M,PRECTOTCORR
2012,1,1,25.73,80.12,3.05,0.99
2012,1,2,24.86,78.5,2.51,0.0
2012,1,3,25.69,77.69,2.33,0.0
2012,1,4,26.51,81.25,2.02,0.0
2012,1,5,26.83,79.5,3.1,0.0
2012,1,6,26.37,79.12,3.48,0.0
2012,1,7,25.65,77.94,3.6,0.0
2012,1,8,26.31,79.62,3.52,0.03
2012,1,9,27.31,76.88,2.2,0.05
2012,1,10,27.37,75.25,1.59,0.86
2012,1,11,26.69,74.38,1.37,3.0
2012,1,12,26.67,72.56,2.42,0.24
2012,1,13,26.47,73.44,3.23,0.05
2012,1,14,26.37,71.06,3.39,0.0
2012,1,15,25.38,67.0,3.59,0.0
2012,1,16,24.34,66.69,3.18,0.0
2012,1,17,25.13,62.62,2.38,0.0
2012,1,18,25.45,59.94,1.81,0.0
2012,1,19,26.39,63.38,1.08,0.0
2012,1,20,26.57,64.56,1.1,0.01
2012,1,21,26.35,66.25,1.75,0.0
2012,1,22,25.94,64.12,2.82,0.0
2012,1,23,25.31,66.5,3.43,0.0
2012,1,24,25.61,62.94,2.78,0.0
2012,1,25,25.62,59.44,2.57,0.0
2012,1,26,26.25,60.62,2.38,0.0
2012,1,27,26.33,67.12,2.24,0.0
2012,1,28,26.99,66.12,1.73,0.0
2012,1,29,26.74,68.0,2.16,0.0
2012,1,30,26.93,65.38,2.68,0.0
2012,1,31,26.68,64.88,3.56,0.0
2012,2,1,26.41,64.75,4.1,0.0
2012,2,2,26.37,65.69,4.48,0.0
2012,2,3,27.08,66.25,4.33,0.0
2012,2,4,27.53,64.12,2.82,0.0
2012,2,5,27.89,64.94,2.42,0.0
2012,2,6,27.86,66.06,2.29,0.0
2012,2,7,28.4,66.5,2.55,0.0
2012,2,8,27.73,70.69,3.22,0.0
2012,2,9,28.1,72.56,2.37,0.1
2012,2,10,26.24,83.31,2.86,4.12
2012,2,11,27.9,72.5,2.27,3.22
2012,2,12,27.78,67.62,2.78,0.81
2012,2,13,27.72,65.81,2.55,0.01
2012,2,14,27.88,65.94,2.42,0.02
2012,2,15,28.12,66.0,1.34,0.13
2012,2,16,28.65,65.38,1.41,0.0
2012,2,17,28.55,62.38,1.48,0.0
2012,2,18,27.92,64.38,3.52,0.0
2012,2,19,27.55,63.19,3.18,0.0
2012,2,20,27.97,63.5,2.55,0.0
2012,2,21,28.19,59.0,2.06,0.0
2012,2,22,27.89,58.25,2.3,0.0
2012,2,23,27.08,63.0,2.61,0.0
2012,2,24,27.3,57.06,3.77,0.0
2012,2,25,27.8,59.19,3.62,0.0
2012,2,26,28.12,56.69,2.27,0.0
2012,2,27,28.91,58.44,2.79,0.0
2012,2,28,27.72,63.94,1.83,0.0
2012,2,29,28.59,67.25,1.98,0.0
2012,3,1,29.33,63.44,1.52,0.0
2012,3,2,29.42,65.88,1.73,0.0
2012,3,3,28.14,73.38,2.97,0.0
2012,3,4,28.15,66.81,3.3,0.0
2012,3,5,28.07,68.25,2.16,0.0
2012,3,6,28.16,69.38,2.7,0.0
2012,3,7,28.13,73.0,3.55,0.04
2012,3,8,28.03,72.5,4.74,0.08
2012,3,9,28.53,66.19,4.72,0.0
2012,3,10,28.73,67.0,4.2,0.0
2012,3,11,29.11,64.06,1.68,2.18
2012,3,12,28.81,64.62,1.8,1.55
2012,3,13,28.62,69.25,1.95,2.5
2012,3,14,28.62,71.06,2.85,1.71
2012,3,15,28.99,69.44,2.13,1.89
2012,3,16,29.33,67.25,1.62,1.34
2012,3,17,29.37,69.56,1.71,2.01
2012,3,18,29.58,66.06,1.68,0.0
2012,3,19,29.53,69.06,2.45,0.0
2012,3,20,29.23,70.25,2.43,0.0
2012,3,21,28.6,71.81,2.56,0.0
2012,3,22,28.76,72.31,2.98,1.28
2012,3,23,29.54,67.5,2.28,0.57
2012,3,24,29.57,63.44,1.66,0.07
2012,3,25,29.46,52.19,1.82,0.0
2012,3,26,29.42,51.25,1.66,0.04
2012,3,27,28.65,63.31,1.83,0.82
2012,3,28,29.15,65.0,1.68,1.08
2012,3,29,28.8,69.88,1.79,8.62
2012,3,30,27.8,77.69,3.58,2.53
2012,3,31,29.03,72.88,3.74,3.84
2012,4,1,29.31,70.31,1.28,1.92
2012,4,2,28.68,69.0,1.03,2.0
2012,4,3,29.52,64.69,1.59,0.22
2012,4,4,28.98,69.31,2.21,0.69
2012,4,5,29.06,72.06,3.36,0.3
2012,4,6,29.08,73.19,3.8,0.51
2012,4,7,29.65,70.12,2.95,0.11
2012,4,8,29.4,70.94,2.23,0.63
2012,4,9,28.9,71.81,2.19,0.31
2012,4,10,29.32,69.44,2.28,0.17
2012,4,11,29.02,71.56,2.26,0.64
2012,4,12,28.69,75.19,3.03,6.58
2012,4,13,27.89,79.75,2.23,2.96
2012,4,14,28.41,74.38,1.3,2.36
2012,4,15,28.19,76.12,1.38,7.46
2012,4,16,27.82,77.31,1.77,1.71
2012,4,17,28.32,75.88,3.42,0.22
2012,4,18,28.05,79.19,3.7,0.23
2012,4,19,28.4,74.25,3.23,0.21
2012,4,20,28.69,77.12,2.47,1.52
2012,4,21,29.52,70.88,3.97,1.31
2012,4,22,28.73,80.88,3.8,1.81
2012,4,23,28.84,81.25,3.51,2.98
2012,4,24,27.65,87.94,3.07,30.61
2012,4,25,27.3,84.88,3.98,8.68
2012,4,26,27.51,82.88,3.73,5.65
2012,4,27,27.69,84.06,3.63,12.13
2012,4,28,27.58,85.75,3.37,10.35
2012,4,29,27.33,87.0,3.36,26.16
2012,4,30,27.48,83.5,3.75,16.88
