-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  11.6854   Longitude 76.132 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 673.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS2M,PRECTOTCORR
2012,1,1,21.23,72.38,0.98,0.07
2012,1,2,21.79,69.44,0.84,0.0
2012,1,3,22.37,70.81,0.52,0.0
2012,1,4,23.15,74.88,0.48,0.0
2012,1,5,23.94,72.38,0.6,0.01
2012,1,6,22.52,68.56,0.66,0.0
2012,1,7,21.91,65.5,0.69,0.0
2012,1,8,22.23,66.56,0.64,0.0
2012,1,9,23.61,71.62,0.48,0.0
2012,1,10,22.98,74.06,0.66,0.0
2012,1,11,22.73,71.31,0.53,0.0
2012,1,12,22.8,71.62,0.51,0.0
2012,1,13,23.08,69.0,0.42,0.0
2012,1,14,22.56,65.75,0.79,0.0
2012,1,15,21.63,59.19,0.74,0.0
2012,1,16,21.02,53.56,0.73,0.0
2012,1,17,20.97,57.56,0.68,0.0
2012,1,18,21.74,68.38,0.57,0.0
2012,1,19,23.12,71.44,0.52,0.02
2012,1,20,23.12,70.12,0.46,0.05
2012,1,21,22.68,68.0,0.58,0.0
2012,1,22,22.6,64.25,0.54,0.0
2012,1,23,22.33,61.75,0.62,0.0
2012,1,24,21.73,59.75,0.65,0.0
2012,1,25,21.4,55.25,0.71,0.0
2012,1,26,22.07,61.5,0.62,0.0
2012,1,27,21.8,64.25,0.65,0.0
2012,1,28,22.51,67.94,0.41,0.0
2012,1,29,22.78,69.19,0.5,0.0
2012,1,30,23.03,65.06,0.58,0.0
2012,1,31,22.67,61.44,0.8,0.0
2012,2,1,22.38,52.31,0.95,0.0
2012,2,2,21.92,54.12,1.07,0.0
2012,2,3,22.65,56.75,1.02,0.0
2012,2,4,23.04,60.0,0.66,0.0
2012,2,5,23.74,61.62,0.47,0.0
2012,2,6,23.32,58.88,0.52,0.0
2012,2,7,24.3,61.12,0.41,0.0
2012,2,8,24.95,54.88,0.52,0.0
2012,2,9,24.17,66.62,0.48,0.0
